player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Didier Ibrahim Ndong,ga GAB,MF,25,3500000,27,2386,0,3,0.8,2.2,0.8,19,1429,79,568
Aridane HernĂˇndez,gq EQG,DF,30,3000000,29,2610,3,0,1.6,0.2,1.6,14,925,42,171
Asier Villalibre,es ESP,FW,21,3000000,19,531,3,0,2.8,0.0,2.8,17,110,4,86
Sergej MilinkoviÄ‡-SaviÄ‡,rs SRB,MF,24,64000000,37,3029,7,4,6.8,4.7,6.8,84,1757,82,712
Tyrick Mitchell,eng ENG,DF,19,5000000,4,195,0,0,0.0,0.2,0.0,0,119,6,48
Lucas Ocampos,ar ARG,FW,25,32000000,33,2745,14,3,10.6,2.5,6.8,81,972,52,503
Eden Hazard,be BEL,"FW,MF",28,80000000,16,1077,1,3,2.4,2.6,2.4,19,611,9,120
Mario Hermoso,es ESP,DF,24,20000000,17,1217,0,0,0.7,0.1,0.7,3,642,13,90
Samir Ujkani,xk KVX,GK,31,20000,1,90,0,0,0.0,0.0,0.0,0,52,0,0
Sarpreet Singh,nz NZL,"FW,MF",20,90000,2,72,0,0,0.0,0.0,0.0,1,29,1,17
Javi LĂłpez,es ESP,DF,33,80000,17,1384,0,0,0.1,1.0,0.1,3,718,47,197
Junior Stanislas,eng ENG,"MF,DF",29,2000000,15,712,3,0,1.6,0.8,0.8,16,310,10,107
Douglas Luiz,br BRA,MF,21,27000000,36,2612,3,2,2.3,1.4,2.3,39,1216,52,592
Renan Lodi,br BRA,DF,21,31000000,32,2396,1,2,0.9,1.6,0.9,16,1246,72,363
Lorenzo Venuti,it ITA,DF,24,1000000,16,858,0,1,0.4,0.7,0.4,5,482,17,131
Jonas Martin,fr FRA,MF,29,2000000,3,247,0,0,0.8,0.3,0.0,0,192,8,51
Fred,br BRA,MF,26,17500000,29,2163,0,0,2.0,2.5,2.0,40,1714,79,707
Dante,br BRA,DF,35,1000000,21,1890,1,0,1.2,0.3,1.2,19,1588,36,166
Amin Younes,de GER,"FW,MF",25,6000000,9,176,1,0,0.9,0.3,0.9,7,111,4,40
Joelinton,br BRA,FW,22,20000000,38,2683,2,2,4.8,2.4,4.8,52,801,30,595
Kevin Vogt,de GER,"DF,MF",27,8000000,14,1105,0,0,0.1,0.2,0.1,1,773,19,129
Khouma Babacar,sn SEN,FW,26,5000000,25,1422,3,0,6.1,0.7,4.5,47,306,17,290
Wesley Moustache,fr FRA,DF,20,15000,1,45,0,0,0.0,0.0,0.0,0,27,0,6
Keven Schlotterbeck,de GER,DF,22,2000000,23,1939,0,0,0.4,0.0,0.4,10,795,61,253
Josip DrmiÄ‡,ch SUI,"FW,MF",26,1000000,21,647,1,0,2.6,0.4,2.6,13,164,4,138
Philipp Lienhart,at AUT,DF,23,9000000,22,1817,0,1,1.0,0.7,1.0,7,1024,19,103
Adama TraorĂ©,ml MLI,MF,24,25000000,2,25,0,0,0.0,0.0,0.0,0,12,0,1
Simone Missiroli,it ITA,MF,33,1000000,34,2798,1,0,1.2,0.9,1.2,13,1462,52,420
Kevin StĂ¶ger,at AUT,MF,25,4000000,17,1268,0,4,0.8,2.0,0.8,22,969,26,264
Oliver Burke,sco SCO,"MF,FW",22,4000000,31,1429,1,2,3.2,1.2,3.2,20,333,20,270
Juan Miranda,es ESP,DF,19,4000000,11,781,0,0,0.1,0.8,0.1,5,400,15,155
Julian Weigl,de GER,"MF,DF",23,18000000,13,1019,1,0,0.3,0.4,0.3,9,824,21,176
Renaud Ripart,fr FRA,"FW,DF",26,3000000,24,2027,4,2,6.0,1.7,4.5,48,641,32,428
NicolĂˇs GaitĂˇn,ar ARG,"MF,FW",31,3000000,4,54,0,0,0.0,0.0,0.0,0,28,2,18
Abdoulaye DoucourĂ©,fr FRA,MF,26,20000000,37,3156,4,2,5.3,2.6,5.3,62,1658,70,947
Stefan Lainer,at AUT,DF,26,14000000,31,2710,1,3,1.1,3.8,1.1,16,1564,58,508
Presnel Kimpembe,fr FRA,DF,23,28000000,16,1225,0,0,0.4,0.1,0.4,6,1119,41,124
JoaquĂ­n Correa,ar ARG,"FW,MF",24,30000000,30,2002,9,2,10.2,2.8,9.4,76,697,15,357
Robert Snodgrass,sco SCO,"MF,FW",31,4000000,24,1509,5,5,2.8,2.8,2.8,21,635,27,367
LoĂŻck Landre,fr FRA,DF,27,1000000,11,929,1,0,0.9,0.1,0.9,5,389,17,79
Sambou Sissoko,fr FRA,"MF,FW",20,45000,3,32,0,0,0.0,0.0,0.0,0,6,0,12
Enzo Loiodice,fr FRA,MF,18,4000000,5,192,0,0,0.1,0.0,0.1,3,116,5,46
Mario GĂ¶tze,de GER,FW,27,10000000,15,521,3,0,1.9,1.4,1.1,7,283,14,209
RĂşben Vezo,pt POR,DF,25,4000000,29,2610,0,0,0.9,0.6,0.9,11,1164,51,194
Ălex Moreno,es ESP,DF,26,5000000,31,2265,0,4,2.3,2.0,2.3,25,1285,40,376
RĂşnar Alex RĂşnarsson,is ISL,GK,24,1000000,11,901,0,0,0.0,0.1,0.0,0,327,0,2
Eric Bailly,ci CIV,DF,25,17000000,4,150,0,0,0.0,0.0,0.0,0,72,0,17
Valentin Rongier,fr FRA,MF,24,16000000,23,1790,0,2,2.3,1.3,1.5,36,1264,76,614
Rober Correa,es ESP,DF,26,600,12,929,0,0,0.2,0.2,0.2,5,513,16,92
Florian Wirtz,de GER,"FW,MF",16,24000000,7,367,1,0,0.3,0.2,0.3,4,186,6,68
