player,nationality,position,age,value,games,minutes,goals,assists,xg,xa,npxg,shots_total,passes,tackles,pressures
Riccardo Saponara,it ITA,"MF,FW",27,2000000,4,168,0,0,0.3,0.1,0.3,5,84,4,30
Ismail Jakobs,de GER,"FW,DF",19,2000000,20,1672,2,2,2.4,1.1,2.4,18,589,53,405
Trent Alexander-Arnold,eng ENG,DF,20,99000000,38,3175,4,13,2.8,9.9,2.8,44,3147,58,409
Timothy Chandler,us USA,"DF,MF",29,2000000,22,1220,5,1,1.8,1.0,1.8,19,462,20,195
Pavel KadeĹ™Ăˇbek,cz CZE,"DF,MF",27,10000000,30,2474,2,7,2.1,3.5,2.1,26,1365,31,284
Isaac Lihadji,fr FRA,"DF,MF",17,3000000,2,25,0,0,0.0,0.0,0.0,0,16,0,9
Lucas TorrĂł,es ESP,"MF,FW",25,2000000,7,331,0,0,0.2,0.0,0.2,7,174,12,73
Karim Bellarabi,de GER,"FW,DF",29,12000000,26,1424,4,6,5.9,4.2,5.9,55,707,19,297
JoĂŁo Victor Santos SĂˇ,br BRA,"MF,FW",25,3500000,32,1629,2,2,3.5,1.9,3.5,29,442,38,401
Petar Skuletic,rs SRB,FW,29,500,5,106,0,0,1.0,0.1,0.2,4,26,3,20
Espeto,br BRA,"DF,MF",22,3000000,32,2110,1,2,2.3,1.3,2.3,53,870,67,562
Mathieu Bodmer,fr FRA,MF,36,25000,9,88,1,0,0.3,0.3,0.3,4,93,0,14
Mason Holgate,eng ENG,DF,22,13000000,27,2054,0,3,2.2,0.5,2.2,12,991,50,242
Anthony Limbombe,be BEL,"FW,MF",25,4000000,4,151,1,0,0.3,0.1,0.3,2,53,2,18
Michael McGovern,nir NIR,GK,35,30000,2,159,0,0,0.0,0.0,0.0,0,51,0,0
Harvey Barnes,eng ENG,"MF,FW",21,17000000,36,2083,6,8,8.7,3.5,8.7,61,729,22,328
Kwon Chang-hoon,kr KOR,"MF,FW",25,2800000,23,676,2,0,1.9,1.1,1.9,15,275,9,142
Andre-Frank Zambo Anguissa,cm CMR,MF,23,20000000,36,2583,2,0,2.4,0.8,2.4,29,1498,79,592
Iago HerrerĂ­n,es ESP,GK,31,2000000,5,425,0,0,0.0,0.0,0.0,0,169,0,2
Nico Schlotterbeck,de GER,DF,19,4000000,13,373,0,0,0.1,0.3,0.1,3,194,8,37
TomĂˇĹˇ SouÄŤek,cz CZE,MF,24,20000000,13,1040,3,0,2.2,0.5,2.2,19,392,35,240
Marko GrujiÄ‡,rs SRB,MF,23,14500000,29,2415,4,1,4.4,0.6,4.4,35,1096,67,572
Thiago Maia,br BRA,MF,22,3000000,3,48,0,0,0.0,0.1,0.0,0,39,4,13
Lukas KlĂĽnter,de GER,DF,23,4000000,23,1878,0,2,0.1,1.8,0.1,2,825,48,282
Sandro Tonali,it ITA,MF,19,31000000,35,3014,1,7,0.9,5.4,0.9,27,1582,52,558
IsmaĂ«l Bennacer,dz ALG,MF,21,17000000,31,2485,1,0,0.9,1.4,0.9,15,1808,91,587
Cristiano Piccini,it ITA,DF,26,6000000,2,75,0,0,0.1,0.0,0.1,1,51,4,16
RubĂ©n GarcĂ­a,es ESP,"MF,FW",26,20000,30,2188,8,2,6.5,3.9,5.7,52,1022,51,408
Bruno Soriano,es ESP,MF,35,47500,7,263,0,0,0.1,0.0,0.1,1,267,5,40
FabiĂˇn Balbuena,py PAR,DF,27,9000000,17,1177,1,0,1.7,0.0,1.7,10,487,18,116
Curtis Jones,eng ENG,MF,18,1000000,6,126,1,0,0.9,0.0,0.9,6,128,3,27
RĂşben Vinagre,pt POR,DF,20,9000000,16,652,0,0,0.3,0.5,0.3,5,344,25,117
Jon Pacheco,es ESP,DF,18,20000,1,77,0,0,0.0,0.0,0.0,0,36,1,9
Theodor Gebre Selassie,cz CZE,DF,32,1000000,28,2427,2,2,1.4,1.5,1.4,11,1337,44,340
David GarcĂ­a,es ESP,DF,25,2000000,32,2793,0,0,1.2,0.3,1.2,19,1160,39,263
Mathias Pereira Lage,pt POR,MF,22,2000000,25,1542,1,3,1.8,2.3,1.8,36,542,40,526
Sebastiano Esposito,it ITA,FW,17,9000000,7,199,1,0,1.7,0.1,1.0,10,62,3,78
Scott McTominay,sco SCO,MF,22,22000000,27,1772,4,1,1.5,0.7,1.5,30,995,50,262
Exequiel Palacios,ar ARG,MF,20,22000000,3,177,0,0,0.2,0.2,0.2,5,151,8,40
Jean-KĂ©vin Augustin,fr FRA,FW,22,9000000,10,266,0,0,0.5,0.0,0.5,7,40,2,39
Claudio Bravo,cl CHI,GK,36,1000000,4,347,0,0,0.0,0.0,0.0,0,132,0,0
Elvis RexhbeĂ§aj,de GER,MF,21,4000000,13,623,0,3,1.0,1.3,1.0,13,233,11,142
Phil Bardsley,sco SCO,DF,34,80000,21,1890,0,1,0.2,0.7,0.2,12,897,55,234
Serge Aurier,ci CIV,DF,26,16000000,33,2700,1,5,0.6,2.8,0.6,13,1654,98,521
Alex Ferrari,it ITA,DF,25,2000000,12,1005,0,0,0.3,0.0,0.3,4,425,17,133
Roberto Inglese,it ITA,FW,27,12000000,17,766,4,0,4.3,0.3,3.6,23,153,10,159
Yerry Mina,co COL,DF,24,20000000,29,2284,2,1,2.5,0.2,2.5,30,1251,43,229
Cengiz Ăśnder,tr TUR,FW,22,24000000,18,873,3,0,1.9,2.6,1.9,26,342,12,126
Francesco Magnanelli,it ITA,MF,34,65000,22,1397,0,0,0.4,0.3,0.4,9,1176,31,259
Zinedine Ferhat,dz ALG,"FW,MF",26,2000000,26,2246,3,4,3.1,4.8,3.1,45,947,27,263
Chema,es ESP,DF,27,1000000,4,309,0,0,0.1,0.0,0.1,3,123,2,23
Paulinho,br BRA,"MF,FW",19,13500000,13,304,3,2,1.9,1.3,1.9,9,143,4,52
Javier AvilĂ©s,es ESP,"MF,FW",21,300000,9,184,1,1,0.5,0.9,0.5,5,71,7,52
Matthew Longstaff,eng ENG,MF,19,3000000,9,575,2,0,0.4,0.2,0.4,4,237,6,189
Fabio Borini,it ITA,"MF,FW",28,4000000,2,70,0,0,0.1,0.0,0.1,2,22,2,13
Dani GarcĂ­a,es ESP,MF,29,4000000,36,3029,0,1,0.5,1.0,0.5,14,1471,74,501
Vincent Pajot,fr FRA,MF,28,1000000,6,113,0,1,0.1,0.0,0.1,3,48,1,53
GaĂ«l Kakuta,cd COD,"MF,FW",28,2000000,24,2001,2,5,3.2,2.5,3.2,42,868,44,552
StĂ©phane Bahoken,cm CMR,FW,27,4000000,20,907,4,0,3.0,0.8,2.2,20,204,7,210
Florin Andone,ro ROU,"MF,FW",26,3000000,3,73,1,0,0.1,0.0,0.1,1,12,2,7
JosĂ© Antonio MartĂ­nez Gil,es ESP,DF,26,1200000,20,1191,0,1,0.1,0.0,0.1,2,488,22,95
Fabien Centonze,fr FRA,DF,23,4000000,28,2520,0,3,0.4,2.3,0.4,9,1297,89,444
Victor Moses,ng NGA,DF,28,6000000,12,420,0,3,0.2,2.1,0.2,5,281,6,45
Youssouf Fofana,fr FRA,MF,20,11000000,13,1008,1,0,0.8,0.5,0.8,7,357,18,152
ClĂ©ment Grenier,fr FRA,MF,28,5000000,11,839,1,0,0.8,0.6,0.8,7,450,17,176
Felipe dal Belo,br BRA,DF,35,300,15,997,0,0,0.6,0.0,0.6,6,467,14,112
Mattia De Sciglio,it ITA,DF,26,9000000,9,471,0,0,0.0,0.1,0.0,1,344,11,48
Opa Nguette,sn SEN,FW,25,2000000,26,1826,5,2,3.6,1.5,3.6,28,544,45,417
DuĹˇan VlahoviÄ‡,rs SRB,FW,19,16000000,30,1499,6,0,7.9,1.2,7.2,64,343,4,240
RaĂşl Navas,es ESP,DF,31,1000000,9,711,0,0,0.0,0.1,0.0,0,271,15,67
Frenkie de Jong,nl NED,MF,22,72000000,29,2115,2,2,1.0,2.3,1.0,4,1661,30,313
Dario Maresic,at AUT,DF,19,2000000,1,90,0,0,0.0,0.0,0.0,0,64,0,2
Yan Valery,fr FRA,DF,20,6000000,11,779,0,0,0.4,0.7,0.4,3,318,21,171
Felipe Curcio,br BRA,DF,26,30000,1,5,0,0,0.0,0.0,0.0,0,12,0,1
Josh Maja,ng NGA,FW,20,6500000,21,735,6,2,3.7,1.2,3.7,18,206,6,184
Leonardo Spinazzola,it ITA,DF,26,14000000,24,1548,1,2,1.3,2.9,1.3,15,1018,18,203
Steven Alzate,co COL,"MF,DF",20,2000000,19,1188,0,0,1.2,0.7,1.2,13,664,28,235
AndrĂ© Silva,pt POR,FW,23,16000000,1,60,0,0,0.4,0.0,0.4,54,483,7,270
Matthias Bader,de GER,DF,22,40000,1,12,0,0,0.0,0.0,0.0,0,7,1,1
Sergio Escudero,es ESP,DF,29,4000000,11,773,1,0,0.8,0.5,0.8,8,592,26,123
Marcel Risse,de GER,"MF,FW",29,1000000,6,132,0,2,0.1,0.5,0.1,1,70,3,27
Cristian Benavente,pe PER,"MF,FW",25,3000000,12,349,0,1,0.3,0.6,0.3,5,156,12,98
Birkir Bjarnason,is ISL,"MF,FW",31,80000,13,798,0,1,0.6,0.4,0.6,9,268,10,142
Diego LĂłpez,es ESP,GK,37,80000,36,3232,0,0,0.0,0.0,0.0,0,1142,2,7
Luigi Sepe,it ITA,GK,28,4000000,34,3060,0,0,0.0,0.4,0.0,0,1138,1,5
Juan Jesus,br BRA,DF,28,3500000,4,139,0,0,0.0,0.0,0.0,0,74,4,22
Marc Cardona,es ESP,FW,24,1000000,19,705,1,2,1.9,1.4,1.9,13,184,2,150
Raphael Framberger,de GER,DF,23,1000000,18,1175,0,2,0.3,0.7,0.3,1,507,46,192
JoĂŁo FĂ©lix,pt POR,"FW,MF",19,81000000,27,1745,6,1,7.4,2.6,7.4,64,531,9,211
FayĂ§al Fajr,ma MAR,MF,30,3000000,10,403,0,0,0.4,0.5,0.4,8,192,1,75
Simon Terodde,de GER,"FW,MF",31,2000000,23,813,3,1,6.7,0.8,6.7,36,164,13,218
Jonathan Burkardt,de GER,FW,19,1000000,8,253,1,0,0.8,0.1,0.8,7,52,7,84
AntonĂ­n BarĂˇk,cz CZE,MF,24,8000000,8,194,0,0,0.1,0.2,0.1,4,104,4,79
Marco Richter,de GER,"MF,FW",21,8000000,31,2280,4,3,4.5,1.9,4.5,63,596,24,464
Esteban Burgos,ar ARG,DF,27,72500,15,1119,1,0,0.7,0.1,0.7,2,380,15,75
Wesley Lautoa,nc NCL,"MF,DF",31,1000000,23,1869,0,1,0.7,0.3,0.7,11,989,60,377
Antonin Bobichon,fr FRA,MF,23,2000000,2,180,0,0,0.0,0.1,0.0,20,283,11,237
David Silva,es ESP,MF,33,12000000,27,1826,6,10,6.3,5.4,6.3,46,1513,26,302
Steven Nzonzi,fr FRA,MF,30,11000000,5,386,0,0,0.2,0.1,0.2,2,299,7,34
Remi Oudin,fr FRA,"FW,MF",22,7000000,18,1397,3,2,3.2,2.0,3.2,35,454,14,230
Jamilu Collins,ng NGA,DF,24,2000000,30,2668,1,2,1.7,1.4,1.0,17,1768,78,434
Jan Vertonghen,be BEL,DF,32,14000000,23,1645,1,1,0.3,1.0,0.3,4,1112,31,154
Mamadou Sakho,fr FRA,DF,29,9000000,14,931,0,0,0.0,0.1,0.0,0,516,12,53
Karim Onisiwo,at AUT,FW,27,3000000,32,1728,4,6,4.2,4.0,4.2,38,359,22,427
Ridle Baku,de GER,"DF,MF",21,5000000,30,2351,1,3,1.1,3.1,1.1,22,1158,56,519
Andrea Masiello,it ITA,DF,33,1000000,15,1324,0,1,0.2,0.0,0.2,6,812,24,156
Kai PrĂ¶ger,de GER,"MF,FW",27,1000000,31,2079,2,6,2.9,3.6,2.9,51,623,44,527
Luca Tremolada,it ITA,MF,27,72500,1,15,0,0,0.0,0.0,0.0,0,6,0,6
Davie Selke,de GER,FW,24,8000000,19,960,1,1,2.6,0.4,2.6,19,235,4,190
Ayoze PĂ©rez,es ESP,"MF,FW",26,24000000,33,2004,8,4,5.7,4.0,4.9,46,773,51,575
Kasper Schmeichel,dk DEN,GK,32,9000000,38,3420,0,0,0.0,0.5,0.0,1,1178,0,5
Ălvaro Vadillo,es ESP,"FW,MF",24,2000000,22,1218,3,1,1.9,1.6,1.1,17,454,12,159
Glenn Murray,eng ENG,FW,35,1000000,23,797,1,1,2.1,0.5,2.1,17,177,3,144
Stefan SaviÄ‡,me MNE,DF,28,20000000,22,1980,0,0,0.1,0.1,0.1,2,1036,16,95
Tyrone Mings,eng ENG,DF,26,22000000,33,2902,2,2,1.1,0.7,1.1,9,1333,25,160
Denilho Cleonise,nl NED,FW,17,1000000,4,47,0,0,0.3,0.0,0.3,1,7,0,18
Rodrigo TarĂ­n,es ESP,DF,23,1200000,14,951,0,0,0.2,0.0,0.2,2,239,11,72
Davy PrĂ¶pper,nl NED,MF,27,13000000,35,2829,1,2,1.3,2.1,1.3,31,1785,58,484
Bryan,es ESP,"MF,FW",18,9000000,12,558,1,0,1.0,0.9,1.0,14,212,14,146
Dominick Drexler,de GER,"MF,FW",29,3000000,27,1587,3,4,2.4,3.4,2.4,20,665,31,384
GaĂ«tan Bong,cm CMR,"MF,DF",31,80000,4,59,0,0,0.0,0.1,0.0,0,35,0,12
Federico Dimarco,it ITA,"DF,MF",21,4000000,3,27,0,0,0.0,0.0,0.0,1,14,1,8
Yann Karamoh,fr FRA,"FW,MF",21,9000000,14,573,1,1,0.6,0.9,0.6,11,149,8,137
Moi GĂłmez,es ESP,"FW,MF",25,4000000,37,2319,5,4,3.1,3.0,3.1,37,1135,28,426
Fernando Llorente,es ESP,FW,34,4000000,17,501,3,1,4.7,0.7,4.7,31,156,1,108
Guido RodrĂ­guez,ar ARG,MF,25,8000000,14,936,1,0,1.0,0.0,1.0,12,515,30,182
Matthijs de Ligt,nl NED,DF,19,67000000,29,2450,4,0,2.6,0.3,2.6,18,1525,40,216
Ilija Nestorovski,mk MKD,FW,29,2000000,28,1251,3,1,3.8,0.8,3.8,35,386,14,239
Diogo Dalot,pt POR,DF,20,18000000,4,67,0,0,0.2,0.0,0.2,1,64,3,8
Miguel MarĂ­,es ESP,MF,22,25000,1,6,0,0,0.0,0.0,0.0,0,2,1,4
Christophe Jallet,fr FRA,DF,35,25000,12,855,1,1,0.2,0.7,0.2,4,556,28,176
Emi BuendĂ­a,ar ARG,"FW,MF",22,14000000,36,2464,1,7,2.2,7.2,2.2,40,1534,88,791
Bastian Oczipka,de GER,DF,30,3000000,34,3015,0,5,0.2,2.9,0.2,9,1787,72,368
Lukasz Fabianski,pl POL,GK,34,2500000,25,2117,0,0,0.0,0.0,0.0,0,672,0,10
Arkadiusz Reca,pl POL,DF,24,2000000,25,1928,0,2,1.9,1.7,1.9,19,971,46,325
Bobby Adekanye,nl NED,FW,20,52500,11,188,1,0,1.7,0.1,1.7,5,46,4,60
Benjamin Pavard,fr FRA,DF,23,28000000,32,2790,4,4,1.7,3.2,1.7,21,2511,35,277
Sven Ulreich,de GER,GK,30,3000000,1,90,0,0,0.0,0.0,0.0,0,52,0,0
Sergi GĂłmez,es ESP,DF,27,4000000,13,717,0,0,0.1,0.1,0.1,3,486,7,47
Robert BeriÄ‡,si SVN,"FW,MF",28,2400000,11,413,1,0,1.3,0.2,1.3,7,71,4,113
Kevin Kampl,si SVN,MF,28,17000000,11,675,2,2,0.6,2.8,0.6,6,520,19,151
Quini,es ESP,DF,29,400,10,718,0,0,0.2,0.2,0.2,10,298,25,112
Ken Sema,se SWE,"DF,MF",25,4800000,32,2453,2,1,0.5,3.9,0.5,16,1070,48,413
Tony Jantschke,de GER,DF,29,2000000,17,1012,0,0,0.5,0.9,0.5,4,646,39,129
AndrĂ© Silva,pt POR,FW,23,16000000,25,1575,12,3,10.5,4.3,9.7,2,11,3,15
Lautaro MartĂ­nez,ar ARG,FW,21,64000000,35,2452,14,3,15.9,2.6,13.7,122,520,17,518
James RodrĂ­guez,co COL,MF,28,32000000,8,419,1,1,0.9,1.8,0.9,9,305,17,77
Ragnar Klavan,ee EST,DF,33,1000000,31,2354,0,0,0.4,0.6,0.4,4,1183,37,241
Charles ArĂˇnguiz,cl CHI,MF,30,12000000,27,2118,1,3,1.4,1.8,1.4,15,1627,55,531
Omar Colley,gm GAM,DF,26,5000000,31,2772,0,1,2.9,0.4,2.9,23,1324,55,273
Daniel Podence,pt POR,"FW,MF",23,12000000,9,289,1,0,1.6,0.4,1.6,10,105,2,43
BenoĂ®t Mukinayi,fr FRA,DF,18,25000000,16,1411,0,0,0.6,0.2,0.6,10,928,22,124
MartĂ­n CĂˇceres,uy URU,DF,32,1000000,27,2356,1,0,2.0,0.5,2.0,12,1307,57,254
Gil BastiĂŁo Dias,pt POR,"DF,MF",22,3200000,14,1057,0,0,1.2,1.7,1.2,16,639,56,298
Jonathan Bamba,fr FRA,"FW,MF",23,16000000,26,1937,1,4,5.1,2.3,2.8,44,831,16,343
Dries Mertens,be BEL,FW,32,20000000,31,1689,9,7,5.2,6.4,5.2,75,713,23,501
Christian Clemens,de GER,"MF,FW",27,1000000,1,16,0,0,0.0,0.0,0.0,0,3,1,1
Marcelo,br BRA,DF,31,12000000,15,1296,1,2,0.5,2.1,0.5,17,1071,20,137
Dan-Axel Zagadou,fr FRA,DF,20,31000000,15,983,1,1,0.2,0.4,0.2,4,827,17,91
Eddy Salcedo,it ITA,"FW,MF",17,10000000,17,680,1,0,1.5,1.6,1.5,22,221,3,127
Larra,es ESP,"FW,MF",21,2000000,10,250,0,0,0.1,0.1,0.1,3,77,2,43
Gleison Bremer,br BRA,DF,22,5000000,27,2270,3,1,1.3,0.2,1.3,11,1125,71,430
Julian Baumgartlinger,at AUT,MF,31,2000000,27,1791,2,2,1.8,1.9,1.8,17,1141,43,434
Antonio AdĂˇn,es ESP,GK,32,80000,1,25,0,0,0.0,0.0,0.0,0,6,0,0
Fabio Depaoli,it ITA,"MF,DF",22,4000000,29,1854,0,1,1.5,2.2,1.5,28,697,46,399
Melvin Bard,fr FRA,DF,18,4500000,1,45,0,0,0.0,0.1,0.0,0,47,0,5
Amir Abrashi,al ALB,MF,29,1000000,13,663,0,0,0.4,0.1,0.4,5,342,23,164
Pablo Sarabia,es ESP,"FW,MF",27,28000000,21,1164,4,3,4.0,2.9,4.0,32,677,18,260
Valon Behrami,ch SUI,MF,34,47500,17,1107,0,0,0.2,0.0,0.2,5,440,36,357
Ciprian TÄtÄruČ™anu,ro ROU,GK,33,700000,2,180,0,0,0.0,0.0,0.0,0,59,0,0
Scott Dann,eng ENG,DF,32,2000000,16,1266,0,1,0.4,0.4,0.4,8,555,12,41
Sami Ben Amar,ma MAR,FW,21,35000,2,14,0,0,0.0,0.0,0.0,0,8,1,5
Matis Carvalho,pt POR,GK,20,15000,1,72,0,0,0.0,0.0,0.0,0,27,0,0
Liam Henderson,sco SCO,MF,23,1000000,4,196,0,0,0.0,0.3,0.0,2,65,4,57
Mattia Bani,it ITA,DF,25,2000000,27,2207,4,0,3.3,0.0,3.3,17,1109,54,389
Goran Pandev,mk MKD,"FW,MF",36,32500,34,1685,9,1,5.4,2.1,5.4,37,586,11,274
Breel Embolo,ch SUI,"FW,MF",22,13000000,28,1550,8,5,9.0,4.8,8.2,44,390,23,395
Edmond Tapsoba,bf BFA,DF,20,18000000,14,1058,0,0,0.0,0.2,0.0,2,1096,30,128
JĂĽrgen Locadia,nl NED,FW,25,8000000,11,530,4,0,3.0,0.1,2.2,2,19,1,12
GrĂ©goire Defrel,mq MTQ,"FW,MF",28,9000000,17,980,3,3,3.3,1.4,2.5,20,342,11,226
Martin DĂşbravka,sk SVK,GK,30,5000000,38,3420,0,0,0.0,0.0,0.0,0,1093,0,9
Leonardo Pavoletti,it ITA,FW,30,4000000,2,45,0,0,0.1,0.0,0.1,2,16,0,4
Jens Stryger Larsen,dk DEN,DF,28,2000000,33,2789,1,3,1.6,1.9,1.6,12,1628,39,336
Giacomo Raspadori,it ITA,"MF,FW",19,62500,11,264,2,0,1.8,0.2,1.8,11,115,10,51
Arnaud Lusamba,fr FRA,"MF,FW",22,2000000,15,982,1,2,0.6,1.8,0.6,5,448,24,282
David Martin,eng ENG,GK,33,25000,5,436,0,0,0.0,0.0,0.0,0,124,0,1
Allan,br BRA,MF,28,25000000,23,1280,2,1,0.7,1.1,0.7,12,829,55,411
Elie Youan,fr FRA,FW,20,725,5,163,0,0,0.4,0.1,0.4,3,52,1,51
Janis Antiste,fr FRA,MF,16,1000000,1,12,0,0,0.1,0.0,0.1,1,9,0,1
Waldo Rubio,es ESP,"MF,FW",23,80000,21,878,0,2,0.6,1.0,0.6,17,299,15,171
Marcos Rojo,ar ARG,DF,29,8000000,3,122,0,0,0.1,0.0,0.1,1,55,2,16
IĂ±igo CĂłrdoba,es ESP,FW,22,3000000,24,1442,1,4,1.5,1.1,1.5,25,458,26,396
Tiago DjalĂł,pt POR,DF,19,4000000,8,661,0,0,0.0,0.0,0.0,0,432,9,78
Karol Linetty,pl POL,MF,24,11000000,28,2019,4,3,1.7,2.1,1.7,31,765,62,438
Nolito,es ESP,FW,32,1500000,15,898,3,0,2.1,0.7,2.1,28,345,12,141
Nicolas LemaĂ®tre,fr FRA,GK,22,32500,1,90,0,0,0.0,0.0,0.0,0,27,0,0
Ashley Barnes,eng ENG,FW,29,8000000,19,1352,6,0,5.6,0.5,4.8,39,253,6,275
Emre Can,de GER,"MF,DF",25,26000000,12,955,2,0,0.9,0.4,0.9,16,739,25,152
Diego Costa,es ESP,FW,30,14000000,23,1350,5,4,6.8,1.8,4.6,33,366,10,200
Alessandro Semprini,it ITA,DF,21,20000,12,629,1,0,0.8,0.4,0.8,2,356,10,82
Antoine Valerio,fr FRA,MF,19,200000,5,87,0,0,0.0,0.0,0.0,0,35,2,31
NicolĂ˛ Zaniolo,it ITA,"FW,MF",20,45000000,26,1503,6,2,3.9,3.2,3.9,47,447,15,295
Javier HernĂˇndez,mx MEX,FW,31,3000000,9,448,1,0,2.4,0.3,2.4,13,79,4,65
JĂ©rĂ©my GĂ©lin,fr FRA,"DF,MF",22,4000000,14,924,0,0,0.3,0.0,0.3,3,533,13,87
Kyle Walker,eng ENG,DF,29,40000000,29,2392,1,4,1.0,2.1,1.0,13,2144,33,256
Mikel Merino,es ESP,MF,23,24000000,36,3139,5,1,2.8,2.1,2.8,44,1974,82,668
Walter BenĂ­tez,ar ARG,GK,26,8000000,26,2340,0,0,0.0,0.0,0.0,0,785,0,4
Adama Soumaoro,fr FRA,DF,27,8000000,8,637,1,0,0.6,0.0,0.6,4,340,3,32
Haris Belkebla,dz ALG,MF,25,1000000,23,1816,0,0,0.6,0.5,0.6,7,845,57,440
Gerard Moreno,es ESP,"FW,MF",27,16000000,35,2744,18,5,13.4,6.6,11.9,85,1027,17,392
Wendell,br BRA,DF,26,7500000,24,1903,0,2,0.3,1.6,0.3,11,1888,74,314
Yevgen Shakhov,ua UKR,"MF,FW",28,1500000,24,1085,1,2,0.9,2.0,0.9,13,401,34,285
Albert Lottin,fr FRA,MF,17,45000,1,45,0,0,0.0,0.0,0.0,0,18,3,21
Henrikh Mkhitaryan,am ARM,FW,30,20000000,3,112,0,0,0.3,0.2,0.3,2,77,0,32
Lorenzo Andrenacci,it ITA,GK,24,10000,6,531,0,0,0.0,0.0,0.0,0,163,0,4
Juan PĂ©rez,es ESP,GK,23,40000,2,180,0,0,0.0,0.0,0.0,0,66,0,2
Roland Sallai,hu HUN,"MF,FW",22,3000000,21,1162,2,0,2.4,1.5,2.4,34,343,22,196
Kevin Lasagna,it ITA,FW,26,5000000,36,2569,10,1,9.6,2.4,9.6,83,489,29,630
Joel Pohjanpalo,fi FIN,MF,24,80000,1,2,0,0,0.0,0.0,0.0,0,0,0,2
Guilherme Arana,br BRA,DF,22,2000000,4,80,0,0,0.0,0.0,0.0,1,54,5,24
Nikolas Ĺ palek,sk SVK,"MF,FW",22,2000000,25,1579,2,1,3.8,1.8,3.8,25,446,21,497
Giangiacomo Magnani,it ITA,"DF,MF",23,3000000,2,115,0,0,0.1,0.0,0.1,2,37,2,6
Samuel Fridjonsson,is ISL,MF,23,400,5,192,0,0,0.0,0.0,0.0,0,103,3,30
Jasper Cillessen,nl NED,GK,30,14000000,24,2096,0,1,0.0,0.1,0.0,0,759,0,1
Domenico Berardi,it ITA,FW,24,19000000,31,2493,14,10,9.8,7.0,7.6,115,1192,39,637
Memphis Depay,nl NED,"FW,MF",25,44000000,13,1018,9,2,5.0,2.9,4.2,46,485,9,159
Biagio Meccariello,it ITA,DF,28,55000,14,768,1,0,0.2,0.1,0.2,5,410,23,112
Chris Mepham,wal WAL,DF,21,8000000,12,912,1,0,0.7,0.1,0.7,6,483,23,132
Adama TraorĂ©,ml MLI,"FW,MF",24,25000000,15,1007,1,4,1.2,4.1,1.2,43,942,41,404
Igor,br BRA,DF,21,5000000,17,1337,0,1,0.1,0.9,0.1,4,667,27,195
Moussa WaguĂ©,sn SEN,DF,20,6000000,1,90,0,0,0.0,0.0,0.0,1,149,7,48
Andreas Luthe,de GER,GK,32,40000,10,900,0,0,0.0,0.0,0.0,0,419,0,0
Alberto Paloschi,it ITA,"FW,MF",29,1000000,7,204,0,0,0.1,0.1,0.1,3,39,0,36
Kingsley Ehizibue,nl NED,DF,24,2000000,31,2329,1,1,1.0,1.2,1.0,12,1137,93,443
Ă“scar de Marcos,es ESP,"DF,FW",30,3000000,13,541,0,1,0.1,1.0,0.1,1,228,5,72
Gerzino Nyamsi,fr FRA,DF,22,1000000,4,116,0,0,0.0,0.0,0.0,0,46,1,7
Lamine KonĂ©,ci CIV,DF,30,2000000,18,1473,1,0,0.6,0.4,0.6,8,736,32,156
JoaquĂ­n FernĂˇndez,es ESP,"MF,DF",23,2000000,20,1659,2,0,0.7,0.1,0.7,10,749,37,272
Philipp Bargfrede,de GER,MF,30,1000000,15,586,0,0,0.2,0.1,0.2,5,268,19,139
JoĂ«l Matip,cm CMR,DF,27,32000000,9,703,1,0,0.3,0.0,0.3,4,514,13,64
Kenedy,br BRA,"MF,DF",23,10000000,19,586,1,3,0.8,0.9,0.8,14,201,11,111
Jadon Sancho,eng ENG,"FW,MF",19,117000000,32,2287,17,16,9.3,9.0,9.3,52,1614,17,412
Stefano Okaka,it ITA,FW,29,3000000,33,2415,8,2,7.5,1.6,7.5,59,629,25,558
Joshua Kimmich,de GER,"MF,DF",24,64000000,33,2818,4,7,1.3,8.2,1.3,28,2847,63,511
Nianzou Kouassi,fr FRA,"DF,MF",17,11000000,6,452,2,0,0.4,0.2,0.4,2,336,5,50
Can Bozdogan,de GER,MF,18,2500000,3,235,0,0,0.1,0.0,0.1,4,73,9,77
Moritz Leitner,de GER,MF,26,2000000,9,685,0,0,0.2,0.3,0.2,8,553,18,160
Hannes Wolf,at AUT,"FW,MF",20,11000000,5,58,0,0,0.0,0.0,0.0,0,27,3,28
Manuel SĂˇnchez,es ESP,DF,18,8000000,5,325,0,0,0.0,0.3,0.0,0,173,14,69
Eric GarcĂ­a,es ESP,DF,18,6000000,13,793,0,0,0.5,0.1,0.5,2,705,12,74
Fabio Borini,it ITA,"FW,MF",28,4000000,14,808,3,0,2.8,0.4,2.1,38,263,5,126
Fran MĂ©rida,es ESP,MF,29,1000000,23,1161,0,1,0.3,0.3,0.3,13,770,26,264
Kalifa Coulibaly,ml MLI,FW,27,4000000,21,1616,4,0,5.1,0.9,5.1,47,336,11,252
Tariq Lamptey,eng ENG,DF,18,3000000,8,588,0,1,0.1,0.6,0.1,2,235,9,91
Niclas Thiede,de GER,GK,20,20000,1,69,0,0,0.0,0.0,0.0,0,41,0,0
Nacho,es ESP,DF,30,2500000,23,1893,0,2,0.4,2.6,0.4,6,293,12,52
Rafael,br BRA,DF,29,5000000,13,700,0,0,0.1,0.6,0.1,5,436,26,153
